timestamp,uav_id,target_id,Q_i_t,D_i_t,Psi_i_t,C_i_t,P_star,N_ij,h_ij,correction_term,P_ij_trans_opt
1190.0,1,2,204800.0,1204800.0,8.122214288164534,8122214288164535.0,0.004280012626103254,3.0728155737770826e-12,2.3194020590347883e-09,0.0013248309243356561,0.002955181701767598
1191.0,1,3,147456.0,1147456.0,8.147858327117309,8147858327117310.0,0.004063470459049998,1.2663388290230245e-11,3.146297072157045e-09,0.0040248546147450895,3.861584430490863e-05
1192.0,1,0,540672.0,1540672.0,8.147858327117309,8147858327117310.0,0.005455960977227431,2.0810603470577114e-11,4.799327232897813e-09,0.004336150143696653,0.001119810833530778
1193.0,1,3,671744.0,1671744.0,8.147858327117309,8147858327117310.0,0.005920124483286575,1.3899038987003822e-11,2.5911908444109386e-09,0.0053639580492433865,0.0005561664340431888
1193.0,1,0,671744.0,1671744.0,8.147858327117309,8147858327117310.0,0.005920124483286575,6.941242909220439e-12,6.5236204956208695e-09,0.0010640169693929787,0.004856107513893596
1193.0,1,2,671744.0,1671744.0,8.147858327117309,8147858327117310.0,0.005920124483286575,8.685024464238172e-12,2.461106692994786e-09,0.0035289101805130773,0.002391214302773498
1194.0,1,0,163840.0,1163840.0,8.167226607143855,8167226607143856.0,0.004111716931962033,2.1106378487780118e-11,8.378504901601587e-09,0.0025191103586685907,0.0015926065732934425
1195.0,1,2,237568.0,1237568.0,8.167226607143855,8167226607143856.0,0.004372189734030786,1.951502398382984e-12,1.8510268755376242e-09,0.0010542809638116016,0.0033179087702191845
1196.0,1,0,139264.0,1139264.0,8.19420271173479,8194202711734792.0,0.004011642330277074,5.145398358583761e-11,1.4944837719019713e-08,0.003442926885740226,0.0005687154445368479
1197.0,1,3,253952.0,1253952.0,8.19420271173479,8194202711734792.0,0.004415488353301428,1.55348179845322e-11,3.954922395154379e-09,0.003927970370181133,0.0004875179831202942
1197.0,1,0,253952.0,1253952.0,8.19420271173479,8194202711734792.0,0.004415488353301428,3.1743832647554924e-11,1.51461825330272e-08,0.002095830588224822,0.0023196577650766055
1198.0,1,3,139264.0,1139264.0,8.198176460167629,8198176460167630.0,0.004009697842072838,1.2328678565616927e-11,4.355141399889516e-09,0.0028308331311423522,0.0011788647109304859
1198.0,1,0,139264.0,1139264.0,8.198176460167629,8198176460167630.0,0.004009697842072838,1.6428388735827375e-11,1.4388987655833633e-08,0.0011417334651174658,0.002867964376955372
1199.0,1,3,114688.0,1114688.0,8.207795984883075,8207795984883076.0,0.0039186033685542345,8.798386351296304e-12,4.9678793595122336e-09,0.0017710547528594102,0.002147548615694824
1199.0,1,0,114688.0,1114688.0,8.207795984883075,8207795984883076.0,0.0039186033685542345,1.8726124167983662e-11,1.3095030461388014e-08,0.00143001761035986,0.0024885857581943742
1200.0,1,3,114688.0,1114688.0,8.225358677143895,8225358677143896.0,0.003910236411226845,3.2635418705410903e-11,5.762982308712389e-09,0.005662939248672197,0.0
1200.0,1,0,114688.0,1114688.0,8.225358677143895,8225358677143896.0,0.003910236411226845,3.839243727926957e-11,1.0535522540856284e-08,0.003644094265888134,0.00026614214533871115
1201.0,1,3,237568.0,1237568.0,8.225358677143895,8225358677143896.0,0.004341289629895706,9.902395030888464e-12,7.237947851258327e-09,0.0013681219089146822,0.0029731677209810237
1201.0,1,0,237568.0,1237568.0,8.225358677143895,8225358677143896.0,0.004341289629895706,5.613918484134061e-12,8.550042586623802e-09,0.0006565953826846209,0.003684694247211085
1202.0,1,3,98304.0,1098304.0,8.249756098956738,8249756098956739.0,0.0038413686784967848,5.580614170639593e-11,2.783144982811141e-08,0.0020051467692505346,0.0018362219092462502
1203.0,1,3,131072.0,1131072.0,8.264872107612343,8264872107612344.0,0.003948740994516788,5.3692546784076444e-11,3.998311705569275e-08,0.001342880464004038,0.0026058605305127507
1203.0,1,0,131072.0,1131072.0,8.264872107612343,8264872107612344.0,0.003948740994516788,1.4493683304440496e-11,5.854826276491133e-09,0.002475510394328341,0.0014732306001884474
1204.0,1,3,73728.0,1073728.0,8.286387334832106,8286387334832107.0,0.0037388116154119196,9.668829532796106e-11,4.9474703512818435e-08,0.0019542976200536506,0.001784513995358269
1204.0,1,0,73728.0,1073728.0,8.286387334832106,8286387334832107.0,0.0037388116154119196,1.7688611592109504e-11,5.111651644356762e-09,0.0034604493464725134,0.0002783622689394062
1205.0,1,3,147456.0,1147456.0,8.30116423192031,8301164231920311.0,0.003988426284767855,6.110684916708562e-11,5.11071011422235e-08,0.0011956625948522162,0.0027927636899156387
1205.0,1,0,147456.0,1147456.0,8.30116423192031,8301164231920311.0,0.003988426284767855,1.1100453022891203e-11,4.4828882133478755e-09,0.002476183320797386,0.001512242963970469
1206.0,1,3,106496.0,1106496.0,8.324360671305103,8324360671305104.0,0.003835336682290098,7.137934843815265e-11,3.4358603488200945e-08,0.0020774810729040534,0.0017578556093860447
1206.0,1,0,106496.0,1106496.0,8.324360671305103,8324360671305104.0,0.003835336682290098,1.8711305293182978e-11,6.770252908827311e-09,0.002763752779277488,0.00107158390301261
1207.0,1,3,139264.0,1139264.0,8.339005594560165,8339005594560166.0,0.003941982061111724,2.9849166682891216e-11,8.033979612896596e-09,0.003715365002292968,0.00022661705881875643
1207.0,1,0,139264.0,1139264.0,8.339005594560165,8339005594560166.0,0.003941982061111724,1.541113678339052e-11,6.744383295842128e-09,0.00228503276094812,0.0016569493001636045
1208.0,1,3,122880.0,1122880.0,8.340896069819824,8340896069819825.0,0.003884410964848272,1.7401362060367086e-11,6.387632734028164e-09,0.0027242270783144184,0.0011601838865338537
1208.0,1,0,122880.0,1122880.0,8.340896069819824,8340896069819825.0,0.003884410964848272,1.0270562689456619e-11,1.0648698906710817e-08,0.0009644899136911556,0.0029199210511571165
1209.0,1,3,245760.0,1245760.0,8.35058346360151,8350583463601510.0,0.004304493888293409,1.2518164486461355e-11,4.43686924961775e-09,0.002821395849683836,0.001483098038609573
1209.0,1,0,245760.0,1245760.0,8.35058346360151,8350583463601510.0,0.004304493888293409,2.6920060801466603e-11,1.0111934638524331e-08,0.0026622067649554287,0.00164228712333798
1210.0,1,3,163840.0,1163840.0,8.362989009392376,8362989009392377.0,0.004015469097238968,2.1414742365567907e-11,3.936603539365542e-09,0.005439903244363616,0.0
1210.0,1,0,163840.0,1163840.0,8.362989009392376,8362989009392377.0,0.004015469097238968,2.787294406030005e-11,8.199898442414314e-09,0.0033991816186559206,0.0006162874785830478
1211.0,1,3,311296.0,1311296.0,8.362989009392376,8362989009392377.0,0.004524220309778896,9.811803719055808e-13,3.2219317561647765e-09,0.0003045317052504948,0.004219688604528401
1211.0,1,0,311296.0,1311296.0,8.362989009392376,8362989009392377.0,0.004524220309778896,9.084546300056427e-13,6.672783946711987e-09,0.0001361432705240342,0.004388077039254862
